team,match_rank_recent,date,tournament,neutral,side,opponent,home_team,away_team,home_score,away_score,team_scoreline,team_result,city,country
Croatia,22,2024-06-19,UEFA Euro,1,neutral,Albania,Croatia,Albania,2,2,2-2,D,Hamburg,Germany
Croatia,23,2024-06-15,UEFA Euro,1,neutral,Spain,Spain,Croatia,3,0,0-3,L,Berlin,Germany
Croatia,24,2024-06-08,Friendly,0,away,Portugal,Portugal,Croatia,1,2,2-1,W,Oeiras,Portugal
Croatia,25,2024-06-03,Friendly,0,home,North Macedonia,Croatia,North Macedonia,3,0,3-0,W,Rijeka,Croatia
Croatia,26,2024-03-26,FIFA Series,0,away,Egypt,Egypt,Croatia,2,4,4-2,W,Cairo,Egypt
Croatia,27,2024-03-23,FIFA Series,1,neutral,Tunisia,Tunisia,Croatia,0,0,0-0,D,Cairo,Egypt
Croatia,28,2023-11-21,UEFA Euro qualification,0,home,Armenia,Croatia,Armenia,1,0,1-0,W,Zagreb,Croatia
Croatia,29,2023-11-18,UEFA Euro qualification,0,away,Latvia,Latvia,Croatia,0,2,2-0,W,Riga,Latvia
Croatia,30,2023-10-15,UEFA Euro qualification,0,away,Wales,Wales,Croatia,2,1,1-2,L,Cardiff,Wales
Croatia,31,2023-10-12,UEFA Euro qualification,0,home,Turkey,Croatia,Turkey,0,1,0-1,L,Osijek,Croatia
Croatia,32,2023-09-11,UEFA Euro qualification,0,away,Armenia,Armenia,Croatia,0,1,1-0,W,Yerevan,Armenia
Croatia,33,2023-09-08,UEFA Euro qualification,0,home,Latvia,Croatia,Latvia,5,0,5-0,W,Rijeka,Croatia
Croatia,34,2023-06-18,UEFA Nations League,1,neutral,Spain,Croatia,Spain,0,0,0-0,D,Rotterdam,Netherlands
Croatia,35,2023-06-14,UEFA Nations League,0,away,Netherlands,Netherlands,Croatia,2,4,4-2,W,Rotterdam,Netherlands
Croatia,36,2023-03-28,UEFA Euro qualification,0,away,Turkey,Turkey,Croatia,0,2,2-0,W,Bursa,Turkey
Croatia,37,2023-03-25,UEFA Euro qualification,0,home,Wales,Croatia,Wales,1,1,1-1,D,Split,Croatia
Croatia,38,2022-12-17,FIFA World Cup,1,neutral,Morocco,Croatia,Morocco,2,1,2-1,W,Al Rayyan,Qatar
Croatia,39,2022-12-13,FIFA World Cup,1,neutral,Argentina,Argentina,Croatia,3,0,0-3,L,Lusail,Qatar
Croatia,40,2022-12-09,FIFA World Cup,1,neutral,Brazil,Croatia,Brazil,1,1,1-1,D,Al Rayyan,Qatar
Croatia,41,2022-12-05,FIFA World Cup,1,neutral,Japan,Japan,Croatia,1,1,1-1,D,Al Wakrah,Qatar
Croatia,42,2022-12-01,FIFA World Cup,1,neutral,Belgium,Croatia,Belgium,0,0,0-0,D,Al Rayyan,Qatar
Croatia,43,2022-11-27,FIFA World Cup,1,neutral,Canada,Croatia,Canada,4,1,4-1,W,Al Rayyan,Qatar
Croatia,44,2022-11-23,FIFA World Cup,1,neutral,Morocco,Morocco,Croatia,0,0,0-0,D,Al Khor,Qatar
Croatia,45,2022-11-16,Friendly,0,away,Saudi Arabia,Saudi Arabia,Croatia,0,1,1-0,W,Riyadh,Saudi Arabia
Croatia,46,2022-09-25,UEFA Nations League,0,away,Austria,Austria,Croatia,1,3,3-1,W,Vienna,Austria
Croatia,47,2022-09-22,UEFA Nations League,0,home,Denmark,Croatia,Denmark,2,1,2-1,W,Zagreb,Croatia
Croatia,48,2022-06-13,UEFA Nations League,0,away,France,France,Croatia,0,1,1-0,W,Paris,France
Croatia,49,2022-06-10,UEFA Nations League,0,away,Denmark,Denmark,Croatia,0,1,1-0,W,Copenhagen,Denmark
Croatia,50,2022-06-06,UEFA Nations League,0,home,France,Croatia,France,1,1,1-1,D,Split,Croatia
Croatia,51,2022-06-03,UEFA Nations League,0,home,Austria,Croatia,Austria,0,3,0-3,L,Osijek,Croatia
Croatia,52,2022-03-29,Friendly,1,neutral,Bulgaria,Croatia,Bulgaria,2,1,2-1,W,Al Rayyan,Qatar
Croatia,53,2022-03-26,Friendly,1,neutral,Slovenia,Croatia,Slovenia,1,1,1-1,D,Al Rayyan,Qatar
Croatia,54,2021-11-14,FIFA World Cup qualification,0,home,Russia,Croatia,Russia,1,0,1-0,W,Split,Croatia
Croatia,55,2021-11-11,FIFA World Cup qualification,0,away,Malta,Malta,Croatia,1,7,7-1,W,Ta' Qali,Malta
Croatia,56,2021-10-11,FIFA World Cup qualification,0,home,Slovakia,Croatia,Slovakia,2,2,2-2,D,Osijek,Croatia
Croatia,57,2021-10-08,FIFA World Cup qualification,0,away,Cyprus,Cyprus,Croatia,0,3,3-0,W,Larnaca,Cyprus
Croatia,58,2021-09-07,FIFA World Cup qualification,0,home,Slovenia,Croatia,Slovenia,3,0,3-0,W,Split,Croatia
Croatia,59,2021-09-04,FIFA World Cup qualification,0,away,Slovakia,Slovakia,Croatia,0,1,1-0,W,Bratislava,Slovakia
Croatia,60,2021-09-01,FIFA World Cup qualification,0,away,Russia,Russia,Croatia,0,0,0-0,D,Moscow,Russia
Curaçao,1,2026-06-06,Friendly,0,home,Aruba,Curaçao,Aruba,4,0,4-0,W,Willemstad,Curaçao
Curaçao,2,2026-05-30,Friendly,0,away,Scotland,Scotland,Curaçao,4,1,1-4,L,Glasgow,Scotland
Curaçao,3,2026-03-31,FIFA Series,0,away,Australia,Australia,Curaçao,5,1,1-5,L,Melbourne,Australia
Curaçao,4,2026-03-27,FIFA Series,1,neutral,China,China,Curaçao,2,0,0-2,L,Sydney,Australia
Curaçao,5,2025-11-18,FIFA World Cup qualification,0,away,Jamaica,Jamaica,Curaçao,0,0,0-0,D,Kingston,Jamaica
Curaçao,6,2025-11-13,FIFA World Cup qualification,0,away,Bermuda,Bermuda,Curaçao,0,7,7-0,W,Devonshire Parish,Bermuda
Curaçao,7,2025-10-14,FIFA World Cup qualification,0,home,Trinidad and Tobago,Curaçao,Trinidad and Tobago,1,1,1-1,D,Willemstad,Curaçao
Curaçao,8,2025-10-10,FIFA World Cup qualification,0,home,Jamaica,Curaçao,Jamaica,2,0,2-0,W,Willemstad,Curaçao
Curaçao,9,2025-09-09,FIFA World Cup qualification,0,home,Bermuda,Curaçao,Bermuda,3,2,3-2,W,Willemstad,Curaçao
Curaçao,10,2025-09-05,FIFA World Cup qualification,0,away,Trinidad and Tobago,Trinidad and Tobago,Curaçao,0,0,0-0,D,Port of Spain,Trinidad and Tobago
Curaçao,11,2025-06-24,Gold Cup,1,neutral,Honduras,Honduras,Curaçao,2,1,1-2,L,San Jose,United States
Curaçao,12,2025-06-21,Gold Cup,1,neutral,Canada,Curaçao,Canada,1,1,1-1,D,Houston,United States
Curaçao,13,2025-06-17,Gold Cup,1,neutral,El Salvador,Curaçao,El Salvador,0,0,0-0,D,San Jose,United States
Curaçao,14,2025-06-10,FIFA World Cup qualification,1,neutral,Haiti,Haiti,Curaçao,1,5,5-1,W,Oranjestad,Aruba
Curaçao,15,2025-06-06,FIFA World Cup qualification,0,home,Saint Lucia,Curaçao,Saint Lucia,4,0,4-0,W,Willemstad,Curaçao
Curaçao,16,2025-03-19,Friendly,1,neutral,Kazakhstan,Kazakhstan,Curaçao,2,0,0-2,L,Antalya,Turkey
Curaçao,17,2024-11-18,CONCACAF Nations League,0,away,Saint Lucia,Saint Lucia,Curaçao,1,4,4-1,W,Gros Islet,Saint Lucia
Curaçao,18,2024-11-15,CONCACAF Nations League,0,home,Saint Martin,Curaçao,Saint Martin,5,0,5-0,W,Willemstad,Curaçao
Curaçao,19,2024-10-14,CONCACAF Nations League,1,neutral,Grenada,Curaçao,Grenada,1,0,1-0,W,Gros Islet,Saint Lucia
Curaçao,20,2024-10-11,CONCACAF Nations League,1,neutral,Grenada,Grenada,Curaçao,0,0,0-0,D,Gros Islet,Saint Lucia
Curaçao,21,2024-09-09,CONCACAF Nations League,1,neutral,Saint Martin,Curaçao,Saint Martin,4,0,4-0,W,St. George's,Grenada
Curaçao,22,2024-09-06,CONCACAF Nations League,1,neutral,Saint Lucia,Saint Lucia,Curaçao,2,1,1-2,L,St. George's,Grenada
Curaçao,23,2024-06-08,FIFA World Cup qualification,0,away,Aruba,Aruba,Curaçao,0,2,2-0,W,Oranjestad,Aruba
Curaçao,24,2024-06-05,FIFA World Cup qualification,0,home,Barbados,Curaçao,Barbados,4,1,4-1,W,Willemstad,Curaçao
Curaçao,25,2023-11-20,Friendly,0,home,El Salvador,Curaçao,El Salvador,1,1,1-1,D,Willemstad,Curaçao
Curaçao,26,2023-11-16,Friendly,0,home,El Salvador,Curaçao,El Salvador,1,1,1-1,D,Willemstad,Curaçao
Curaçao,27,2023-10-17,CONCACAF Nations League,0,home,Trinidad and Tobago,Curaçao,Trinidad and Tobago,5,3,5-3,W,Willemstad,Curaçao
Curaçao,28,2023-10-13,CONCACAF Nations League,0,home,Panama,Curaçao,Panama,1,2,1-2,L,Willemstad,Curaçao
Curaçao,29,2023-09-10,CONCACAF Nations League,0,away,Martinique,Martinique,Curaçao,1,0,0-1,L,Fort-de-France,Martinique
Curaçao,30,2023-09-07,CONCACAF Nations League,0,away,Trinidad and Tobago,Trinidad and Tobago,Curaçao,1,0,0-1,L,Port of Spain,Trinidad and Tobago
Curaçao,31,2023-06-16,Gold Cup qualification,1,neutral,Saint Kitts and Nevis,Curaçao,Saint Kitts and Nevis,1,1,1-1,D,Fort Lauderdale,United States
Curaçao,32,2023-06-13,Friendly,1,neutral,Costa Rica,Curaçao,Costa Rica,0,0,0-0,D,Fort Lauderdale,United States
Curaçao,33,2023-03-28,Friendly,0,away,Argentina,Argentina,Curaçao,7,0,0-7,L,Santiago del Estero,Argentina
Curaçao,34,2023-03-25,CONCACAF Nations League,0,home,Canada,Curaçao,Canada,0,2,0-2,L,Willemstad,Curaçao
Curaçao,35,2022-09-27,Friendly,0,away,Indonesia,Indonesia,Curaçao,2,1,1-2,L,Cibinong,Indonesia
Curaçao,36,2022-09-24,Friendly,0,away,Indonesia,Indonesia,Curaçao,3,2,2-3,L,Bandung,Indonesia
Curaçao,37,2022-06-09,CONCACAF Nations League,0,away,Canada,Canada,Curaçao,4,0,0-4,L,Vancouver,Canada
Curaçao,38,2022-06-06,CONCACAF Nations League,0,away,Honduras,Honduras,Curaçao,1,2,2-1,W,San Pedro Sula,Honduras
Curaçao,39,2022-06-03,CONCACAF Nations League,0,home,Honduras,Curaçao,Honduras,0,1,0-1,L,Willemstad,Curaçao
Curaçao,40,2021-10-09,Friendly,1,neutral,New Zealand,Curaçao,New Zealand,1,2,1-2,L,Riffa,Bahrain
Curaçao,41,2021-10-06,Friendly,0,away,Bahrain,Bahrain,Curaçao,4,0,0-4,L,Riffa,Bahrain
Curaçao,42,2021-06-15,FIFA World Cup qualification,0,home,Panama,Curaçao,Panama,0,0,0-0,D,Willemstad,Curaçao
Curaçao,43,2021-06-12,FIFA World Cup qualification,0,away,Panama,Panama,Curaçao,2,1,1-2,L,Panama City,Panama
Curaçao,44,2021-06-08,FIFA World Cup qualification,0,home,Guatemala,Curaçao,Guatemala,0,0,0-0,D,Willemstad,Curaçao
Curaçao,45,2021-06-05,FIFA World Cup qualification,1,neutral,British Virgin Islands,British Virgin Islands,Curaçao,0,8,8-0,W,Guatemala City,Guatemala
Curaçao,46,2021-03-28,FIFA World Cup qualification,1,neutral,Cuba,Cuba,Curaçao,1,2,2-1,W,Guatemala City,Guatemala
Curaçao,47,2021-03-25,FIFA World Cup qualification,0,home,Saint Vincent and the Grenadines,Curaçao,Saint Vincent and the Grenadines,5,0,5-0,W,Willemstad,Curaçao
Curaçao,48,2019-11-14,CONCACAF Nations League,0,home,Costa Rica,Curaçao,Costa Rica,1,2,1-2,L,Willemstad,Curaçao
Curaçao,49,2019-10-13,CONCACAF Nations League,0,away,Costa Rica,Costa Rica,Curaçao,0,0,0-0,D,San José,Costa Rica
Curaçao,50,2019-09-10,CONCACAF Nations League,0,away,Haiti,Haiti,Curaçao,1,1,1-1,D,Port-au-Prince,Haiti
Curaçao,51,2019-09-07,CONCACAF Nations League,0,home,Haiti,Curaçao,Haiti,1,0,1-0,W,Willemstad,Curaçao
Curaçao,52,2019-06-30,Gold Cup,0,away,United States,United States,Curaçao,1,0,0-1,L,Philadelphia,United States
Curaçao,53,2019-06-25,Gold Cup,1,neutral,Jamaica,Jamaica,Curaçao,1,1,1-1,D,Los Angeles,United States
Curaçao,54,2019-06-21,Gold Cup,1,neutral,Honduras,Honduras,Curaçao,0,1,1-0,W,Houston,United States
Curaçao,55,2019-06-17,Gold Cup,1,neutral,El Salvador,Curaçao,El Salvador,0,1,0-1,L,Kingston,Jamaica
