team,match_rank_recent,date,side,home_team,away_team,opponent,team_scoreline,home_score,away_score,team_result,tournament,city,country,neutral,within_last_year,source_url
Belgium,9,2025-09-07,home,Belgium,Kazakhstan,Kazakhstan,6-0,6,0,W,FIFA World Cup qualification,Anderlecht,Belgium,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,10,2025-09-04,away,Liechtenstein,Belgium,Liechtenstein,6-0,0,6,W,FIFA World Cup qualification,Vaduz,Liechtenstein,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,11,2025-06-09,home,Belgium,Wales,Wales,4-3,4,3,W,FIFA World Cup qualification,Brussels,Belgium,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,12,2025-06-06,away,North Macedonia,Belgium,North Macedonia,1-1,1,1,D,FIFA World Cup qualification,Skopje,North Macedonia,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,13,2025-03-23,home,Belgium,Ukraine,Ukraine,3-0,3,0,W,UEFA Nations League,Genk,Belgium,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,14,2025-03-20,neutral,Ukraine,Belgium,Ukraine,1-3,3,1,L,UEFA Nations League,Murcia,Spain,1,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,15,2024-11-17,neutral,Israel,Belgium,Israel,0-1,1,0,L,UEFA Nations League,Budapest,Hungary,1,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,16,2024-11-14,home,Belgium,Italy,Italy,0-1,0,1,L,UEFA Nations League,Brussels,Belgium,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,17,2024-10-14,home,Belgium,France,France,1-2,1,2,L,UEFA Nations League,Leuven,Belgium,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,18,2024-10-10,away,Italy,Belgium,Italy,2-2,2,2,D,UEFA Nations League,Rome,Italy,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,19,2024-09-09,away,France,Belgium,France,0-2,2,0,L,UEFA Nations League,Décines-Charpieu,France,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Belgium,20,2024-09-06,neutral,Belgium,Israel,Israel,3-1,3,1,W,UEFA Nations League,Debrecen,Hungary,1,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,1,2026-06-06,neutral,Panama,Bosnia and Herzegovina,Panama,1-1,1,1,D,Friendly,St Louis,United States,1,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,2,2026-05-29,home,Bosnia and Herzegovina,North Macedonia,North Macedonia,0-0,0,0,D,Friendly,Sarajevo,Bosnia and Herzegovina,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,3,2026-03-31,home,Bosnia and Herzegovina,Italy,Italy,1-1,1,1,D,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,4,2026-03-26,away,Wales,Bosnia and Herzegovina,Wales,1-1,1,1,D,FIFA World Cup qualification,Cardiff,Wales,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,5,2025-11-18,away,Austria,Bosnia and Herzegovina,Austria,1-1,1,1,D,FIFA World Cup qualification,Vienna,Austria,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,6,2025-11-15,home,Bosnia and Herzegovina,Romania,Romania,3-1,3,1,W,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,7,2025-10-12,away,Malta,Bosnia and Herzegovina,Malta,4-1,1,4,W,Friendly,Ta' Qali,Malta,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,8,2025-10-09,away,Cyprus,Bosnia and Herzegovina,Cyprus,2-2,2,2,D,FIFA World Cup qualification,Larnaca,Cyprus,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,9,2025-09-09,home,Bosnia and Herzegovina,Austria,Austria,1-2,1,2,L,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,10,2025-09-06,away,San Marino,Bosnia and Herzegovina,San Marino,6-0,0,6,W,FIFA World Cup qualification,Serravalle,San Marino,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,11,2025-06-10,away,Slovenia,Bosnia and Herzegovina,Slovenia,1-2,2,1,L,Friendly,Celje,Slovenia,0,1,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,12,2025-06-07,home,Bosnia and Herzegovina,San Marino,San Marino,1-0,1,0,W,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,13,2025-03-24,home,Bosnia and Herzegovina,Cyprus,Cyprus,2-1,2,1,W,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,14,2025-03-21,away,Romania,Bosnia and Herzegovina,Romania,1-0,0,1,W,FIFA World Cup qualification,Bucharest,Romania,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Bosnia and Herzegovina,15,2024-11-19,home,Bosnia and Herzegovina,Netherlands,Netherlands,1-1,1,1,D,UEFA Nations League,Zenica,Bosnia and Herzegovina,0,0,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
