extra_time,goals_against,goals_for,match_date,match_name,opponent,penalty_shootout,result_after_match_rules,score,score_penalties,side,source,stage_name,team,year
0,0,3,2007-09-26,Germany vs Norway,Norway,0,W,3–0,0-0,home,jfjelstul/worldcup matches.csv,semi-final,Germany,2007
0,3,0,2007-09-26,Germany vs Norway,Germany,0,L,3–0,0-0,away,jfjelstul/worldcup matches.csv,semi-final,Norway,2007
0,4,0,2007-09-27,United States vs Brazil,Brazil,0,L,0–4,0-0,home,jfjelstul/worldcup matches.csv,semi-final,United States,2007
0,0,4,2007-09-27,United States vs Brazil,United States,0,W,0–4,0-0,away,jfjelstul/worldcup matches.csv,semi-final,Brazil,2007
0,4,1,2007-09-30,Norway vs United States,United States,0,L,1–4,0-0,home,jfjelstul/worldcup matches.csv,third-place match,Norway,2007
0,1,4,2007-09-30,Norway vs United States,Norway,0,W,1–4,0-0,away,jfjelstul/worldcup matches.csv,third-place match,United States,2007
0,0,2,2007-09-30,Germany vs Brazil,Brazil,0,W,2–0,0-0,home,jfjelstul/worldcup matches.csv,final,Germany,2007
0,2,0,2007-09-30,Germany vs Brazil,Germany,0,L,2–0,0-0,away,jfjelstul/worldcup matches.csv,final,Brazil,2007
1,2,1,2010-06-26,United States vs Ghana,Ghana,0,L,1–2,0-0,home,jfjelstul/worldcup matches.csv,round of 16,United States,2010
1,1,2,2010-06-26,United States vs Ghana,United States,0,W,1–2,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Ghana,2010
0,1,4,2010-06-27,Germany vs England,England,0,W,4–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Germany,2010
0,4,1,2010-06-27,Germany vs England,Germany,0,L,4–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,England,2010
0,1,3,2010-06-27,Argentina vs Mexico,Mexico,0,W,3–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Argentina,2010
0,3,1,2010-06-27,Argentina vs Mexico,Argentina,0,L,3–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Mexico,2010
0,1,2,2010-06-28,Netherlands vs Slovakia,Slovakia,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Netherlands,2010
0,0,3,2010-06-28,Brazil vs Chile,Chile,0,W,3–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Brazil,2010
1,0,0,2010-06-29,Paraguay vs Japan,Japan,1,W,0–0,5–3,home,jfjelstul/worldcup matches.csv,round of 16,Paraguay,2010
1,0,0,2010-06-29,Paraguay vs Japan,Paraguay,1,L,0–0,5–3,away,jfjelstul/worldcup matches.csv,round of 16,Japan,2010
0,0,1,2010-06-29,Spain vs Portugal,Portugal,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Spain,2010
0,1,0,2010-06-29,Spain vs Portugal,Spain,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Portugal,2010
0,1,2,2010-07-02,Netherlands vs Brazil,Brazil,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Netherlands,2010
0,2,1,2010-07-02,Netherlands vs Brazil,Netherlands,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,Brazil,2010
1,1,1,2010-07-02,Uruguay vs Ghana,Uruguay,1,L,1–1,4–2,away,jfjelstul/worldcup matches.csv,quarter-finals,Ghana,2010
0,4,0,2010-07-03,Argentina vs Germany,Germany,0,L,0–4,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Argentina,2010
0,0,4,2010-07-03,Argentina vs Germany,Argentina,0,W,0–4,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,Germany,2010
0,1,0,2010-07-03,Paraguay vs Spain,Spain,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Paraguay,2010
0,0,1,2010-07-03,Paraguay vs Spain,Paraguay,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,Spain,2010
0,2,3,2010-07-06,Uruguay vs Netherlands,Uruguay,0,W,2–3,0-0,away,jfjelstul/worldcup matches.csv,semi-finals,Netherlands,2010
0,1,0,2010-07-07,Germany vs Spain,Spain,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,semi-finals,Germany,2010
0,0,1,2010-07-07,Germany vs Spain,Germany,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,semi-finals,Spain,2010
0,2,3,2010-07-10,Uruguay vs Germany,Uruguay,0,W,2–3,0-0,away,jfjelstul/worldcup matches.csv,third-place match,Germany,2010
1,1,0,2010-07-11,Netherlands vs Spain,Spain,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,final,Netherlands,2010
1,0,1,2010-07-11,Netherlands vs Spain,Netherlands,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,final,Spain,2010
1,1,1,2011-07-09,England vs France,France,1,L,1–1,3–4,home,jfjelstul/worldcup matches.csv,quarter-final,England,2011
1,1,1,2011-07-09,England vs France,England,1,W,1–1,3–4,away,jfjelstul/worldcup matches.csv,quarter-final,France,2011
1,1,0,2011-07-09,Germany vs Japan,Japan,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Germany,2011
1,0,1,2011-07-09,Germany vs Japan,Germany,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,Japan,2011
0,1,3,2011-07-10,Sweden vs Australia,Australia,0,W,3–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Sweden,2011
0,3,1,2011-07-10,Sweden vs Australia,Sweden,0,L,3–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,Australia,2011
1,2,2,2011-07-10,Brazil vs United States,United States,1,L,2–2,3–5,home,jfjelstul/worldcup matches.csv,quarter-final,Brazil,2011
1,2,2,2011-07-10,Brazil vs United States,Brazil,1,W,2–2,3–5,away,jfjelstul/worldcup matches.csv,quarter-final,United States,2011
0,3,1,2011-07-13,France vs United States,United States,0,L,1–3,0-0,home,jfjelstul/worldcup matches.csv,semi-final,France,2011
0,1,3,2011-07-13,France vs United States,France,0,W,1–3,0-0,away,jfjelstul/worldcup matches.csv,semi-final,United States,2011
0,1,3,2011-07-13,Japan vs Sweden,Sweden,0,W,3–1,0-0,home,jfjelstul/worldcup matches.csv,semi-final,Japan,2011
0,3,1,2011-07-13,Japan vs Sweden,Japan,0,L,3–1,0-0,away,jfjelstul/worldcup matches.csv,semi-final,Sweden,2011
0,1,2,2011-07-16,Sweden vs France,France,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,third-place match,Sweden,2011
0,2,1,2011-07-16,Sweden vs France,Sweden,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,third-place match,France,2011
1,2,2,2011-07-17,Japan vs United States,United States,1,W,2–2,3–1,home,jfjelstul/worldcup matches.csv,final,Japan,2011
1,2,2,2011-07-17,Japan vs United States,Japan,1,L,2–2,3–1,away,jfjelstul/worldcup matches.csv,final,United States,2011
1,1,1,2014-06-28,Brazil vs Chile,Chile,1,W,1–1,3–2,home,jfjelstul/worldcup matches.csv,round of 16,Brazil,2014
0,0,2,2014-06-28,Colombia vs Uruguay,Uruguay,0,W,2–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Colombia,2014
0,1,2,2014-06-29,Netherlands vs Mexico,Mexico,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Netherlands,2014
0,2,1,2014-06-29,Netherlands vs Mexico,Netherlands,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Mexico,2014
0,0,2,2014-06-30,France vs Nigeria,Nigeria,0,W,2–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,France,2014
1,1,2,2014-06-30,Germany vs Algeria,Algeria,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Germany,2014
1,2,1,2014-06-30,Germany vs Algeria,Germany,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Algeria,2014
1,0,1,2014-07-01,Argentina vs Switzerland,Switzerland,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Argentina,2014
1,1,0,2014-07-01,Argentina vs Switzerland,Argentina,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Switzerland,2014
1,1,2,2014-07-01,Belgium vs United States,United States,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Belgium,2014
1,2,1,2014-07-01,Belgium vs United States,Belgium,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,United States,2014
0,1,0,2014-07-04,France vs Germany,Germany,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,France,2014
0,0,1,2014-07-04,France vs Germany,France,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,Germany,2014
0,1,2,2014-07-04,Brazil vs Colombia,Colombia,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Brazil,2014
0,2,1,2014-07-04,Brazil vs Colombia,Brazil,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,Colombia,2014
0,0,1,2014-07-05,Argentina vs Belgium,Belgium,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,quarter-finals,Argentina,2014
0,1,0,2014-07-05,Argentina vs Belgium,Argentina,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,quarter-finals,Belgium,2014
1,0,0,2014-07-05,Netherlands vs Costa Rica,Costa Rica,1,W,0–0,4–3,home,jfjelstul/worldcup matches.csv,quarter-finals,Netherlands,2014
0,7,1,2014-07-08,Brazil vs Germany,Germany,0,L,1–7,0-0,home,jfjelstul/worldcup matches.csv,semi-finals,Brazil,2014
0,1,7,2014-07-08,Brazil vs Germany,Brazil,0,W,1–7,0-0,away,jfjelstul/worldcup matches.csv,semi-finals,Germany,2014
1,0,0,2014-07-09,Netherlands vs Argentina,Argentina,1,L,0–0,2–4,home,jfjelstul/worldcup matches.csv,semi-finals,Netherlands,2014
1,0,0,2014-07-09,Netherlands vs Argentina,Netherlands,1,W,0–0,2–4,away,jfjelstul/worldcup matches.csv,semi-finals,Argentina,2014
0,3,0,2014-07-12,Brazil vs Netherlands,Netherlands,0,L,0–3,0-0,home,jfjelstul/worldcup matches.csv,third-place match,Brazil,2014
0,0,3,2014-07-12,Brazil vs Netherlands,Brazil,0,W,0–3,0-0,away,jfjelstul/worldcup matches.csv,third-place match,Netherlands,2014
1,0,1,2014-07-13,Germany vs Argentina,Argentina,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,final,Germany,2014
1,1,0,2014-07-13,Germany vs Argentina,Germany,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,final,Argentina,2014
0,1,4,2015-06-20,Germany vs Sweden,Sweden,0,W,4–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Germany,2015
0,4,1,2015-06-20,Germany vs Sweden,Germany,0,L,4–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Sweden,2015
0,1,0,2015-06-21,Brazil vs Australia,Australia,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Brazil,2015
0,0,1,2015-06-21,Brazil vs Australia,Brazil,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Australia,2015
0,0,3,2015-06-21,France vs South Korea,South Korea,0,W,3–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,France,2015
0,0,1,2015-06-21,Canada vs Switzerland,Switzerland,0,W,1–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Canada,2015
0,1,0,2015-06-21,Canada vs Switzerland,Canada,0,L,1–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Switzerland,2015
0,2,1,2015-06-22,Norway vs England,England,0,L,1–2,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Norway,2015
0,1,2,2015-06-22,Norway vs England,Norway,0,W,1–2,0-0,away,jfjelstul/worldcup matches.csv,round of 16,England,2015
0,0,2,2015-06-22,United States vs Colombia,Colombia,0,W,2–0,0-0,home,jfjelstul/worldcup matches.csv,round of 16,United States,2015
0,2,0,2015-06-22,United States vs Colombia,United States,0,L,2–0,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Colombia,2015
0,1,2,2015-06-23,Japan vs Netherlands,Netherlands,0,W,2–1,0-0,home,jfjelstul/worldcup matches.csv,round of 16,Japan,2015
0,2,1,2015-06-23,Japan vs Netherlands,Japan,0,L,2–1,0-0,away,jfjelstul/worldcup matches.csv,round of 16,Netherlands,2015
1,1,1,2015-06-26,Germany vs France,France,1,W,1–1,5–4,home,jfjelstul/worldcup matches.csv,quarter-final,Germany,2015
1,1,1,2015-06-26,Germany vs France,Germany,1,L,1–1,5–4,away,jfjelstul/worldcup matches.csv,quarter-final,France,2015
0,0,1,2015-06-26,China vs United States,China,0,W,0–1,0-0,away,jfjelstul/worldcup matches.csv,quarter-final,United States,2015
0,1,0,2015-06-27,Australia vs Japan,Japan,0,L,0–1,0-0,home,jfjelstul/worldcup matches.csv,quarter-final,Australia,2015
