captured_at,source,source_url,match_date_query,match_id_fifa,match_no,event_name,home_team,away_team,kickoff,location,city,referee,home_score,away_score,status,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goals_home_detail,goals_away_detail,raw_text_path,data_quality_notes
2026-07-01T19:39:50+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021512,2026-07-01,400021512,80,England vs. Congo DR,England,Congo DR,2026-07-01T16:00:00Z,Atlanta Stadium,Atlanta,Adham MAKHADMEH,2,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-02T11:27:32+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021524,2026-07-02,400021524,81,USA vs. Bosnia and Herzegovina,USA,Bosnia and Herzegovina,2026-07-02T00:00:00Z,San Francisco Bay Area Stadium,San Francisco Bay Area,Raphael CLAUS,2,0,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-01T23:03:30+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021525,2026-07-01,400021525,82,Belgium vs. Senegal,Belgium,Senegal,2026-07-01T20:00:00Z,Seattle Stadium,Seattle,Said MARTINEZ,3,2,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-03T02:01:22+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021526,2026-07-02,400021526,83,Portugal vs. Croatia,Portugal,Croatia,2026-07-02T23:00:00Z,Toronto Stadium,Toronto,Espen ESKAS,2,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-02T22:00:21+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021519,2026-07-02,400021519,84,Spain vs. Austria,Spain,Austria,2026-07-02T19:00:00Z,Los Angeles Stadium,Los Angeles,Glenn NYBERG,3,0,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-03T11:27:20+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021527,2026-07-03,400021527,85,Switzerland vs. Algeria,Switzerland,Algeria,2026-07-03T03:00:00Z,BC Place Vancouver,Vancouver,Yael FALCON PEREZ,2,0,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-04T10:50:07+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021521,2026-07-03,400021521,86,Argentina vs. Cabo Verde,Argentina,Cabo Verde,2026-07-03T22:00:00Z,Miami Stadium,Miami,Drew FISCHER,3,2,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-04T10:50:07+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021517,2026-07-04,400021517,87,Colombia vs. Ghana,Colombia,Ghana,2026-07-04T01:30:00Z,Kansas City Stadium,Kansas City,Clement TURPIN,1,0,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-03T21:58:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021515,2026-07-03,400021515,88,Australia vs. Egypt,Australia,Egypt,2026-07-03T18:00:00Z,Dallas Stadium,Dallas,Gustavo TEJERA,1,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-05T11:23:31+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021533,2026-07-04,400021533,89,Paraguay vs. France,Paraguay,France,2026-07-04T21:00:00Z,Philadelphia Stadium,Philadelphia,Ilgiz TANTASHEV,0,1,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-04T22:48:45+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021530,2026-07-04,400021530,90,Canada vs. Morocco,Canada,Morocco,2026-07-04T17:00:00Z,Houston Stadium,Houston,Michael OLIVER,0,3,full_time,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-04T10:50:07+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021532,2026-07-05,400021532,91,Brazil vs. Norway,Brazil,Norway,2026-07-05T20:00:00Z,New York/New Jersey Stadium,New Jersey,Ismail ELFATH,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-07-04T10:50:07+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021531,2026-07-06,400021531,92,Mexico vs. England,Mexico,England,2026-07-06T00:00:00Z,Mexico City Stadium,Mexico City,Alireza FAGHANI,,,scheduled_or_live,,,,,,,,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
